Selection	Association Name	Association Type	Significance
Reverse Transcriptase	Reverse transcriptase polymerase chain reaction	Procedure	1.74E-6
Reverse Transcriptase	Quantitative reverse transcriptase PCR	Procedure	3.17E-6
Reverse Transcriptase	Polymerase chain reaction	Procedure	1.47E-5
Reverse Transcriptase	Doxorubicin/etoposide/methotrexate protocol	Procedure	2.04E-5
Reverse Transcriptase	Antiretroviral therapy	Procedure	2.51E-5
Reverse Transcriptase	Immortalization	Procedure	3.42E-5
Reverse Transcriptase	Highly active antiretroviral therapy	Procedure	4.08E-5
Reverse Transcriptase	Assay	Procedure	4.47E-5
Reverse Transcriptase	Biological assay	Procedure	4.88E-5
Reverse Transcriptase	Gene amplification technique	Procedure	5.27E-5
Reverse Transcriptase	DNA chemical synthesis	Procedure	5.74E-5
Reverse Transcriptase	CD4 expressing T cell count	Procedure	6.92E-5
Reverse Transcriptase	Nucleic acid hybridization procedure	Procedure	7.5E-5
Reverse Transcriptase	Total protein measurement	Procedure	7.73E-5
Reverse Transcriptase	Primer extension	Procedure	1.05E-4
Reverse Transcriptase	Real-time polymerase chain reaction	Procedure	1.15E-4
Reverse Transcriptase	Immunohistochemistry	Procedure	1.33E-4
Reverse Transcriptase	Detection	Procedure	1.4E-4
Reverse Transcriptase	Western blot	Procedure	1.43E-4
Reverse Transcriptase	Cell culture techniques	Procedure	1.54E-4
Reverse Transcriptase	Treatment protocols	Procedure	1.6E-4
Reverse Transcriptase	Transfection	Procedure	1.73E-4
Reverse Transcriptase	Assisted reproductive technologies	Procedure	1.73E-4
Reverse Transcriptase	Sequence analysis	Procedure	1.84E-4
Reverse Transcriptase	Amino acid substitution	Procedure	1.92E-4
Reverse Transcriptase	Western blotting	Procedure	1.94E-4
Reverse Transcriptase	Analysis	Procedure	2.31E-4
Reverse Transcriptase	Gene expression profiling	Procedure	2.36E-4
Reverse Transcriptase	Enzyme-linked immunosorbent assay	Procedure	2.64E-4
Reverse Transcriptase	Culture of specimen from other site	Procedure	2.65E-4
Reverse Transcriptase	Culture of specimen from unspecified site	Procedure	2.65E-4
Reverse Transcriptase	Laboratory culture	Procedure	2.65E-4
Reverse Transcriptase	Phylogenetic analysis	Procedure	2.68E-4
Reverse Transcriptase	HIV therapy	Procedure	2.68E-4
Reverse Transcriptase	Cloning	Procedure	2.82E-4
Reverse Transcriptase	Northern blotting	Procedure	2.9E-4
Reverse Transcriptase	Southern blot assay	Procedure	2.96E-4
Reverse Transcriptase	RNA differential display	Procedure	3.11E-4
Reverse Transcriptase	Flow cytometry	Procedure	3.17E-4
Reverse Transcriptase	Anti-HIV therapy	Procedure	3.2E-4
Reverse Transcriptase	Lymphocyte count measurement	Procedure	3.41E-4
Reverse Transcriptase	Hivi24ag	Procedure	3.44E-4
Reverse Transcriptase	In situ hybridization	Procedure	3.47E-4
Reverse Transcriptase	Gene fusion	Procedure	3.64E-4
Reverse Transcriptase	Antiviral therapy	Procedure	3.89E-4
Reverse Transcriptase	Mutagenesis	Procedure	3.98E-4
Reverse Transcriptase	AIDS chemotherapy	Procedure	4.08E-4
Reverse Transcriptase	Sequence alignment	Procedure	4.12E-4
Reverse Transcriptase	Staining method	Procedure	4.14E-4
Reverse Transcriptase	CD4 count determination procedure	Procedure	4.19E-4
Reverse Transcriptase	Gene therapy	Procedure	4.28E-4
Reverse Transcriptase	Self-sustained sequence replication	Procedure	4.49E-4
Reverse Transcriptase	Staining and labeling	Procedure	4.96E-4
Reverse Transcriptase	Nested polymerase chain reaction	Procedure	4.97E-4
Reverse Transcriptase	Isolation procedure	Procedure	5.0E-4
Reverse Transcriptase	Oligonucleotide array sequence analysis	Procedure	5.07E-4
Reverse Transcriptase	Viral load measurement	Procedure	5.12E-4
Reverse Transcriptase	International AIDS	Procedure	5.2E-4
Reverse Transcriptase	Isolation aspects	Procedure	5.3E-4
Reverse Transcriptase	Virus cultivation	Procedure	5.32E-4
Reverse Transcriptase	Squamous transitional epithelial cell count	Procedure	5.92E-4
Reverse Transcriptase	Epithelial cell count	Procedure	6.1E-4
Reverse Transcriptase	Coculture techniques	Procedure	6.14E-4
Reverse Transcriptase	Nucleic acid amplification techniques	Procedure	6.19E-4
Reverse Transcriptase	Restriction mapping	Procedure	6.22E-4
Reverse Transcriptase	Clinical trials	Procedure	6.31E-4
Reverse Transcriptase	Induction procedure	Procedure	6.43E-4
Reverse Transcriptase	Immunofluorescence assay	Procedure	6.48E-4
Reverse Transcriptase	Quantitative polymerase chain reaction analysis	Procedure	6.56E-4
Reverse Transcriptase	Immunocytochemistry	Procedure	6.57E-4
Reverse Transcriptase	Fluorescent antibody technique	Procedure	6.65E-4
Reverse Transcriptase	Scientific study	Procedure	6.72E-4
Reverse Transcriptase	Study	Procedure	6.72E-4
Reverse Transcriptase	DICOM study	Procedure	6.72E-4
Reverse Transcriptase	Length of trial	Procedure	6.76E-4
